# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
1.400000000000000000e+01 3.921212968221252318e+06 3.921212968179829884e+06 4.142230859738828876e-06 0.000000000000000000e+00 1.886163061928114985e+04 5.507144998698312172e-02 1.378808329957333489e+00 3.947037400893788788e-05 7.444361445916408693e-01 1.000000000000000021e-03 2.773500001057982445e-02
1.500000000000000000e+01 7.739988886247475166e+05 7.739988435372849926e+05 4.508746257429718275e-03 0.000000000000000000e+00 1.406108180752420139e+03 4.774812020982990290e-01 3.879130204840348650e+00 1.718961839212669812e-03 2.415327342679260525e+00 1.000000000000000021e-03 2.711389999603852630e-02
1.600000000000000000e+01 2.918050717466839124e+05 2.918049940100631793e+05 7.773662073826724007e-03 0.000000000000000000e+00 1.017412401022147378e+03 8.169288066954938365e-01 8.567117376492756620e+00 5.013195720651154874e-03 5.095474299221221415e+00 1.000000000000000021e-03 2.872000000206753612e-02
1.700000000000000000e+01 2.306310878803219384e+04 2.306305912204514607e+04 4.966598704826537432e-03 0.000000000000000000e+00 1.352890927544602619e+03 5.286281778349295468e-01 4.631421732460899499e+00 2.102415639099114181e-03 2.842236628426280554e+00 1.000000000000000021e-03 3.050009999424219131e-02
1.800000000000000000e+01 3.195107037280778828e-01 3.142741420925151408e-01 5.236561635562722063e-04 0.000000000000000000e+00 2.291247828119848691e+03 8.453874783854442576e-02 1.918237888434776856e-02 4.108239018275497916e-05 9.408885489053556150e-02 1.000000000000000021e-03 2.818590000970289111e-02
1.900000000000000000e+01 2.025741663027831237e+05 2.025741439947968465e+05 2.230798626571638306e-03 0.000000000000000000e+00 5.194117742285655368e+03 3.148434881845680322e-01 9.432816969492131776e+00 9.686441899400405342e-04 5.030283328740694060e+00 1.000000000000000021e-03 3.050599998096004128e-02
2.000000000000000000e+01 4.296235608954630152e+04 4.296229570176439302e+04 6.038778190900684871e-03 0.000000000000000000e+00 2.274243172321367183e+03 7.263115079414286246e-01 1.883971372257984100e+01 4.461338388398651371e-03 1.014170703084294978e+01 1.000000000000000021e-03 4.152790002990514040e-02
2.100000000000000000e+01 6.733910711502625782e+04 6.733904892651135742e+04 5.818851490616849115e-03 0.000000000000000000e+00 2.426952444203844607e+03 6.760515947452916397e-01 1.703756376440192000e+01 3.788633559304065319e-03 9.191044843386947605e+00 1.000000000000000021e-03 2.748210000572726130e-02
2.200000000000000000e+01 3.185677727278067687e+04 3.185675305452825341e+04 2.421825242462214648e-03 0.000000000000000000e+00 5.936692729005692854e+03 2.807611299298005125e-01 7.401236619532423511e+00 6.706392972373888912e-04 3.980708800398774727e+00 1.000000000000000021e-03 3.550969995558261871e-02
2.300000000000000000e+01 7.830250459655800910e+01 7.830248755455957621e+01 1.704199842588711598e-06 0.000000000000000000e+00 2.717200144973105635e+05 4.718671069859630904e-03 1.167507203803189453e-01 2.322023694736319378e-07 6.309379905764962715e-02 1.000000000000000021e-03 3.276129998266696930e-02
