# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
1.100000000000000000e+01 1.030459730117745942e-01 2.696427449928718439e-02 6.140990033281727288e-05 1.897545992249796200e+03 1.164667003610853624e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.200000000000000000e+01 2.179189100874217577e-01 6.849531462631995637e+00 5.431750834796020451e-04 6.706280814772912890e+03 3.642141466319940069e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.300000000000000000e+01 2.616866850395458965e-01 8.034876800465829305e+00 7.371936382020320483e-04 5.804614776258355960e+03 4.278387891634258366e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.400000000000000000e+01 5.507144998698312172e-02 1.378808329957333489e+00 3.947037400893788788e-05 1.886163061928114985e+04 7.444361445916408693e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.500000000000000000e+01 4.774812020982990290e-01 3.879130204840348650e+00 1.718961839212669812e-03 1.406108180752420139e+03 2.415327342679260525e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.600000000000000000e+01 8.169288066954938365e-01 8.567117376492756620e+00 5.013195720651154874e-03 1.017412401022147378e+03 5.095474299221221415e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.700000000000000000e+01 5.286281778349295468e-01 4.631421732460899499e+00 2.102415639099114181e-03 1.352890927544602619e+03 2.842236628426280554e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.800000000000000000e+01 8.453874783854442576e-02 1.918237888434776856e-02 4.108239018275497916e-05 2.291247828119848691e+03 9.408885489053556150e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.900000000000000000e+01 3.148434881845680322e-01 9.432816969492131776e+00 9.686441899400405342e-04 5.194117742285655368e+03 5.030283328740694060e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.000000000000000000e+01 7.263115079414286246e-01 1.883971372257984100e+01 4.461338388398651371e-03 2.274243172321367183e+03 1.014170703084294978e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.100000000000000000e+01 6.760515947452916397e-01 1.703756376440192000e+01 3.788633559304065319e-03 2.426952444203844607e+03 9.191044843386947605e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.200000000000000000e+01 2.807611299298005125e-01 7.401236619532423511e+00 6.706392972373888912e-04 5.936692729005692854e+03 3.980708800398774727e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.300000000000000000e+01 4.718671069859630904e-03 1.167507203803189453e-01 2.322023694736319378e-07 2.717200144973105635e+05 6.309379905764962715e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.400000000000000000e+01 4.513203123894632962e-01 8.315368364273396651e+00 1.530851622137669680e-03 3.010745409858542644e+03 4.607473642904023947e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.500000000000000000e+01 1.013041186305586816e+00 1.961274458149560473e+01 7.786115880970603462e-03 1.389577761550647665e+03 1.081162736117241963e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.600000000000000000e+01 1.089649955667319814e+00 2.070073479789689941e+01 8.991432550605759494e-03 1.272324214214871063e+03 1.143102592206516377e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.700000000000000000e+01 7.356777378170810122e-01 1.292409705251736618e+01 4.064272997008252716e-03 1.770975096745145038e+03 7.193661991078755591e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.800000000000000000e+01 2.731925614902881438e-01 3.598406559183469078e+00 5.534252388874766077e-04 3.744671719792227577e+03 2.071842415843135221e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.900000000000000000e+01 2.648092598211449974e-02 1.042007912866118741e-01 3.121137066834460919e-06 2.517714535988937496e+04 7.857820048835360838e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.000000000000000000e+01 4.492887489233041848e-02 1.527938095340075630e+00 2.881336540155358884e-05 2.807370507689877923e+04 8.088691091969667513e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.100000000000000000e+01 3.955393367295274160e-02 1.140557116932716442e+00 2.044149404446241378e-05 2.983306850302803286e+04 6.098120506452665568e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.200000000000000000e+01 6.504018836163454054e-02 2.179595123153521899e-02 2.524217498518325104e-05 3.008384341733968085e+03 7.591292180241696053e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
