# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
1.400000000000000000e+01 1.281771437204504572e+07 1.281771433013817109e+07 4.190687502068825114e-03 0.000000000000000000e+00 2.024211663043036879e+03 4.180860900931311352e-01 4.595089448479533267e+00 1.341574531909369523e-03 2.714289239800988796e+00 1.000000000000000021e-03 1.113510000868700445e-02
1.500000000000000000e+01 7.002582795556291239e+05 7.002582452785812784e+05 3.427704790021648962e-03 0.000000000000000000e+00 2.302649321344552845e+03 3.433277199970805049e-01 3.487909862928356919e+00 9.064700526096395585e-04 2.086376181408649444e+00 1.000000000000000021e-03 9.645700003602541983e-03
1.600000000000000000e+01 1.644397638087961604e+04 1.644396572539041517e+04 1.065548920075225139e-03 0.000000000000000000e+00 3.559005658640210640e+03 1.174021578631019025e-01 5.017690308673119493e-01 1.034802157175212031e-04 3.681831930810403053e-01 1.000000000000000021e-03 1.014969999960158020e-02
1.700000000000000000e+01 7.152190166524087545e+03 7.152189321028753511e+03 8.454953336692762995e-05 0.000000000000000000e+00 2.779415137611774117e+04 4.220580155665674960e-02 1.395828493818575877e+00 2.662862551348572088e-05 7.400934198404311992e-01 1.000000000000000021e-03 1.168919999327044934e-02
1.800000000000000000e+01 1.787671861287179127e+03 1.787664993022090357e+03 6.868265088743927922e-04 0.000000000000000000e+00 1.345560193231236372e+04 1.126289960770634896e-01 3.729923025897463607e+00 1.469715378747798442e-04 1.977443537487920455e+00 1.000000000000000021e-03 1.311469999200198799e-02
1.900000000000000000e+01 6.607617794430027425e+04 6.607617282728687860e+04 5.117013395089679622e-04 0.000000000000000000e+00 1.619044566007374306e+04 9.090279996136876872e-02 3.070604524272496860e+00 1.004422667687465768e-04 1.626104619830848419e+00 1.000000000000000021e-03 1.071550000051502138e-02
2.000000000000000000e+01 1.491532906952261101e+03 1.491532869745120479e+03 3.720714070234970132e-06 0.000000000000000000e+00 4.261617529109125462e+04 2.572303558372954907e-02 6.502964105891549940e-01 8.233287911742578850e-06 3.508630075903953482e-01 1.000000000000000021e-03 1.084470000932924449e-02
2.100000000000000000e+01 2.372501947552185811e+03 2.372491058937834168e+03 1.088861435162473109e-03 0.000000000000000000e+00 4.214401367512453362e+03 1.155079924431686583e-01 6.264318685496310657e-01 1.017283095108006551e-04 4.286221984084734316e-01 1.000000000000000021e-03 1.042180000513326377e-02
2.200000000000000000e+01 8.440698323306476595e+03 8.440676376919098402e+03 2.194638737761286148e-03 0.000000000000000000e+00 3.281947468674239190e+03 2.197000432048512586e-01 2.006057210574361704e+00 3.725619194585193445e-04 1.222356086572573552e+00 1.000000000000000021e-03 1.327540000784210861e-02
2.300000000000000000e+01 9.867953048091895880e+02 9.867769498339830534e+02 1.835497520647858764e-03 0.000000000000000000e+00 3.579114613363708941e+03 1.851370709492053679e-01 1.524388424714904211e+00 2.646831369324453495e-04 9.470666001697251035e-01 1.000000000000000021e-03 1.391239999793469906e-02
2.400000000000000000e+01 3.678664074414529023e+04 3.678663512099757645e+04 5.623147713584347642e-04 0.000000000000000000e+00 4.356855569884794932e+03 6.662625629660935689e-02 1.425516641431787412e-01 3.165174657623038120e-05 1.378704366216225163e-01 1.000000000000000021e-03 1.063550000253599137e-02
2.500000000000000000e+01 7.366856895078328762e+02 7.366850085492790186e+02 6.809585539095784504e-05 0.000000000000000000e+00 3.370704252759109659e+04 3.491807329311379104e-02 1.169624030246325885e+00 1.838577466123017325e-05 6.197117026416155694e-01 1.000000000000000021e-03 1.024459999462123960e-02
2.600000000000000000e+01 5.499577897698497772e+07 5.499577897242011130e+07 4.564865804091627140e-04 0.000000000000000000e+00 1.814496764224143044e+04 8.146583186621264572e-02 2.774285896441122112e+00 8.093752543618914759e-05 1.468527842561337504e+00 1.000000000000000021e-03 1.012720000289846212e-02
2.700000000000000000e+01 7.684449802068122153e+03 7.684446460026749264e+03 3.342041372615239792e-04 0.000000000000000000e+00 2.144731290153578084e+04 6.644084822579654492e-02 2.301288550047783321e+00 5.674767411808375969e-05 1.217028375575570198e+00 1.000000000000000021e-03 1.020020000578369945e-02
2.800000000000000000e+01 3.037741157344683597e+04 3.037741155616109972e+04 1.728573704441917592e-06 0.000000000000000000e+00 4.951242716447771090e+04 2.216591297729443230e-02 5.530029781993318627e-01 6.032170490729706946e-06 2.986613699064696315e-01 1.000000000000000021e-03 1.023319999512750655e-02
2.900000000000000000e+01 5.770437286992613735e+03 5.770429702466704839e+03 7.584525908632148636e-04 0.000000000000000000e+00 4.971856729729295694e+03 8.169444379713022841e-02 3.364786948094094510e-01 5.026970904174448952e-05 2.498835214927932202e-01 1.000000000000000021e-03 1.120159999118186533e-02
3.000000000000000000e+01 1.388549476899670481e+02 1.388395617612717956e+02 1.538592869525537378e-03 0.000000000000000000e+00 4.177924383770801796e+03 1.536621794585596723e-01 1.220942303085633007e+00 1.828978365354657157e-04 7.639504331648406810e-01 1.000000000000000021e-03 1.058149999880697578e-02
3.100000000000000000e+01 2.647653127882817259e+01 2.646353778659231892e+01 1.299349223585298269e-03 0.000000000000000000e+00 4.433531073939916496e+03 1.311780448046746539e-01 9.175006536571347349e-01 1.330606150704183202e-04 5.897953110181716196e-01 1.000000000000000021e-03 1.092250000510830432e-02
3.200000000000000000e+01 5.912726904163061903e+01 5.912325618209654010e+01 4.012859534078332905e-04 0.000000000000000000e+00 4.687132283932020073e+03 4.982848668818689458e-02 5.836349320980317029e-02 1.685683878880548831e-05 7.899337645429967136e-02 1.000000000000000021e-03 1.126220000151079148e-02
3.300000000000000000e+01 3.406113609660242787e+02 3.406108654512604517e+02 4.955147638018431703e-05 0.000000000000000000e+00 3.802766878537067532e+04 3.057031310947040323e-02 1.018950335911983363e+00 1.420138279064781729e-05 5.400312796826715056e-01 1.000000000000000021e-03 1.002349999907892197e-02
3.400000000000000000e+01 1.491259171004814789e+03 1.491255854533793581e+03 3.316471021269797427e-04 0.000000000000000000e+00 2.191542250195226006e+04 6.554198039376211982e-02 2.283369025806622599e+00 5.508570474444038215e-05 1.207171407592328771e+00 1.000000000000000021e-03 1.055669999914243817e-02
3.500000000000000000e+01 2.926894205123725357e+01 2.926652314970785085e+01 2.418901529403983319e-04 0.000000000000000000e+00 2.543746386278606951e+04 5.429966539406505532e-02 1.915427949561511856e+00 3.978437652543285932e-05 1.011973855798295574e+00 1.000000000000000021e-03 1.036639999074395746e-02
3.600000000000000000e+01 3.038530626506824319e+03 3.038530618696785041e+03 7.810039281700995421e-07 0.000000000000000000e+00 5.342817064756751643e+04 2.060897061619582082e-02 5.092964689846146698e-01 5.151911468433771771e-06 2.752520531970347184e-01 1.000000000000000021e-03 1.153109999722801149e-02
3.700000000000000000e+01 5.033269037605725060e+01 5.032683110502848933e+01 5.859271028764436676e-04 0.000000000000000000e+00 5.330962082652245954e+03 6.438244334555548454e-02 1.980477872832639707e-01 3.065231649606974651e-05 1.633756846706914123e-01 1.000000000000000021e-03 1.365879998775199056e-02
3.800000000000000000e+01 2.274114544998397832e+04 2.274113359644635420e+04 1.185353762545147786e-03 0.000000000000000000e+00 4.833871216594835460e+03 1.186764000489219650e-01 8.176174321410674128e-01 1.091227077600886308e-04 5.273759934116956094e-01 1.000000000000000021e-03 1.117119999253191054e-02
3.900000000000000000e+01 9.916644083511373609e+00 9.906622633545538292e+00 1.002144996583524857e-03 0.000000000000000000e+00 5.023873415281515918e+03 1.019000088053664821e-01 6.005460023786499679e-01 8.005237726935042931e-05 4.020929576174221420e-01 1.000000000000000021e-03 1.009789999807253480e-02
4.000000000000000000e+01 2.192525081161309508e-01 2.161668737107975691e-01 3.085634405333386831e-04 0.000000000000000000e+00 4.938312547263863962e+03 4.063608499459453460e-02 2.329219684832649698e-02 1.058705436670444732e-05 5.227159636439107637e-02 1.000000000000000021e-03 1.115430000936612487e-02
4.100000000000000000e+01 5.596427335567095440e+01 5.596386791617465661e+01 4.054394962979528539e-05 0.000000000000000000e+00 4.090846848190643504e+04 2.832574719328396703e-02 9.443165009619874928e-01 1.223423941882730825e-05 5.004717634348588851e-01 1.000000000000000021e-03 1.269419999152887613e-02
4.200000000000000000e+01 3.937428831279386213e+04 3.937428565019040980e+04 2.662603449481206743e-04 0.000000000000000000e+00 2.477877579019000768e+04 5.684872079458398730e-02 2.016190049325088385e+00 4.297806132429031218e-05 1.064900767395803971e+00 1.000000000000000021e-03 1.176069999928586185e-02
4.300000000000000000e+01 1.857691040893010950e+03 1.857689067735720073e+03 1.973157290963898063e-04 0.000000000000000000e+00 2.835570148940091167e+04 4.791092709050810000e-02 1.713310159568487645e+00 3.190067462117182184e-05 9.045341062001307497e-01 1.000000000000000021e-03 1.105200000165496022e-02
4.400000000000000000e+01 1.364346653950257462e+02 1.364346530236072397e+02 1.237141850795585397e-06 0.000000000000000000e+00 5.621053382240038627e+04 1.970826076643178090e-02 5.071680822323381133e-01 4.861941050650727585e-06 2.732874399415501920e-01 1.000000000000000021e-03 9.745199989993125200e-03
4.500000000000000000e+01 9.450547844976144418e+00 9.446084286072819580e+00 4.463558903324726826e-04 0.000000000000000000e+00 5.651322361150093457e+03 5.066694207979383774e-02 1.071323942974796301e-01 1.844402647136668557e-05 1.042146952020622797e-01 1.000000000000000021e-03 1.257289999921340495e-02
4.600000000000000000e+01 4.031090230680162279e+01 4.030179249378080897e+01 9.109813020815075383e-04 0.000000000000000000e+00 5.564232715821524835e+03 9.185737880321644122e-02 5.416161930762471988e-01 6.517798479364268652e-05 3.626002973565463638e-01 1.000000000000000021e-03 1.041010000335518271e-02
4.700000000000000000e+01 9.750186441943028512e+02 9.750109896732767538e+02 7.654521026131341516e-04 0.000000000000000000e+00 5.689555232179806808e+03 7.883101885841359291e-02 3.834916263695600236e-01 4.755676340244713611e-05 2.705292752797911482e-01 1.000000000000000021e-03 1.005270000314339995e-02
4.800000000000000000e+01 1.105981748250381315e+03 1.105979480973901900e+03 2.267276479412979999e-04 0.000000000000000000e+00 5.833335204435192281e+03 3.253289556840702895e-02 8.302053998864033363e-03 6.288670422823006109e-06 3.667763389741622582e-02 1.000000000000000021e-03 2.045569999609142542e-02
4.900000000000000000e+01 1.612793463743957909e+04 1.612793423851672014e+04 3.989228582437027228e-05 0.000000000000000000e+00 4.334750740333978320e+04 2.697556131593606410e-02 9.123446858788698544e-01 1.114592125794344881e-05 4.831367583341130700e-01 1.000000000000000021e-03 1.006020000204443932e-02
5.000000000000000000e+01 4.794237936457272554e+03 4.794235618581628842e+03 2.317875643478822367e-04 0.000000000000000000e+00 2.719837164390391627e+04 5.139794325796430419e-02 1.847807091820256487e+00 3.585881912091055994e-05 9.752656303489716239e-01 1.000000000000000021e-03 1.081379999232012779e-02
5.100000000000000000e+01 2.548350790376799523e+03 2.548349041956643305e+03 1.748420156192870365e-04 0.000000000000000000e+00 3.084067182621384927e+04 4.385846968962524989e-02 1.586253351634340447e+00 2.713900495476657295e-05 8.369580065018407122e-01 1.000000000000000021e-03 1.041919999988749623e-02
