# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
2.200000000000000000e+01 2.197000432048512586e-01 2.006057210574361704e+00 3.725619194585193445e-04 3.281947468674239190e+03 1.222356086572573552e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.300000000000000000e+01 1.851370709492053679e-01 1.524388424714904211e+00 2.646831369324453495e-04 3.579114613363708941e+03 9.470666001697251035e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.400000000000000000e+01 6.662625629660935689e-02 1.425516641431787412e-01 3.165174657623038120e-05 4.356855569884794932e+03 1.378704366216225163e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.500000000000000000e+01 3.491807329311379104e-02 1.169624030246325885e+00 1.838577466123017325e-05 3.370704252759109659e+04 6.197117026416155694e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.600000000000000000e+01 8.146583186621264572e-02 2.774285896441122112e+00 8.093752543618914759e-05 1.814496764224143044e+04 1.468527842561337504e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.700000000000000000e+01 6.644084822579654492e-02 2.301288550047783321e+00 5.674767411808375969e-05 2.144731290153578084e+04 1.217028375575570198e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.800000000000000000e+01 2.216591297729443230e-02 5.530029781993318627e-01 6.032170490729706946e-06 4.951242716447771090e+04 2.986613699064696315e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.900000000000000000e+01 8.169444379713022841e-02 3.364786948094094510e-01 5.026970904174448952e-05 4.971856729729295694e+03 2.498835214927932202e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.000000000000000000e+01 1.536621794585596723e-01 1.220942303085633007e+00 1.828978365354657157e-04 4.177924383770801796e+03 7.639504331648406810e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.100000000000000000e+01 1.311780448046746539e-01 9.175006536571347349e-01 1.330606150704183202e-04 4.433531073939916496e+03 5.897953110181716196e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
