-6,-6,1.07344805616697e-07
-6,-5.94,1.21035888010734e-07
-6,-5.88,1.36479411069166e-07
-6,-5.82,1.53892715534128e-07
-6,-5.76,1.73518578407127e-07
-6,-5.7,1.95627924003938e-07
-6,-5.64,2.20522781640551e-07
-6,-5.58,2.48539505796213e-07
-6,-5.52,2.80052268932412e-07
-6,-5.46,3.15476857442746e-07
-6,-5.4,3.55274774813043e-07
-6,-5.34,3.99957648011918e-07
-6,-5.28,4.50092007964247e-07
-6,-5.22,5.06304369303373e-07
-6,-5.16,5.69286718939346e-07
-6,-5.1,6.39802309106352e-07
-6,-5.04,7.18691882547559e-07
-6,-4.98,8.06880209564368e-07
-6,-4.92,9.05383013228393e-07
-6,-4.86,1.01531425301539e-06
-6,-4.8,1.13789374015259e-06
-6,-4.74,1.27445506856717e-06
-6,-4.68,1.42645383103782e-06
-6,-4.62,1.59547609136511e-06
-6,-4.56,1.78324705042578e-06
-6,-4.5,1.99163985650403e-06
-6,-4.44,2.22268449639375e-06
-6,-4.38,2.47857667785993e-06
-6,-4.32,2.76168659053196e-06
-6,-4.26,3.07456740338023e-06
-6,-4.2,3.41996361304214e-06
-6,-4.14,3.80081857468916e-06
-6,-4.08,4.22028180547613e-06
-6,-4.02,4.68171501099079e-06
-6,-3.96,5.18869754954906e-06
-6,-3.9,5.7450303714098e-06
-6,-3.84,6.35473858499429e-06
-6,-3.78,7.02207242103323e-06
-6,-3.72,7.75150619779672e-06
-6,-3.66,8.54773508547301e-06
-6,-3.6,9.41566939943902e-06
-6,-3.54,1.03604261483853e-05
-6,-3.48,1.13873175534275e-05
-6,-3.42,1.25018359764235e-05
-6,-3.36,1.37096357571759e-05
-6,-3.3,1.50165108179917e-05
-6,-3.24,1.64283678200413e-05
-6,-3.18,1.79511958013856e-05
-6,-3.12,1.95910305252616e-05
-6,-3.06,2.13539141335206e-05
-6,-3,2.32458504359032e-05
-6,-2.94,2.52727549301396e-05
-6,-2.88,2.74403999207617e-05
-6,-2.82,2.97543548340476e-05
-6,-2.76,3.22199219174649e-05
-6,-2.7,3.48420676134052e-05
-6,-2.64,3.76253495850225e-05
-6,-2.58,4.05738393006358e-05
-6,-2.52,4.3691044285195e-05
-6,-2.46,4.69798233106418e-05
-6,-2.4,5.0442304505426e-05
-6,-2.34,5.40797997130414e-05
-6,-2.28,5.78927192194604e-05
-6,-2.22,6.18804886801529e-05
-6,-2.16,6.60414677084751e-05
-6,-2.1,7.03728722385769e-05
-6,-2.04,7.48707015096397e-05
-6,-1.98,7.95296704577477e-05
-6,-1.92,8.43431539656973e-05
-6,-1.86,8.93031323928436e-05
-6,-1.8,9.44001576101098e-05
-6,-1.74,9.96233207276896e-05
-6,-1.68,0.000104960240775643
-6,-1.62,0.000110397064510285
