# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
2.400000000000000000e+01 9.954740101253035245e+05 9.953839906814326532e+05 9.001944387085091037e+00 0.000000000000000000e+00 3.137761002436469582e+01 2.120763733041002297e+01 2.151506416444224215e+02 4.104294688238566913e+00 1.246786634643826659e+02 1.000000000000000021e-03 9.959100000560283661e-02
2.500000000000000000e+01 1.062909463856543937e+02 1.883673161333055290e+01 8.745421477232383722e+00 0.000000000000000000e+00 3.181160503318103139e+01 2.066890996826901272e+01 2.069434666595204817e+02 3.902369690826495319e+00 1.202382736072027569e+02 1.000000000000000021e-03 1.003196000237949193e-01
2.600000000000000000e+01 8.886753323646549881e+07 8.886746404803517461e+07 6.918843032803502879e+00 0.000000000000000000e+00 4.093581806097225240e+01 1.637400594849508195e+01 1.691189510072179587e+02 2.465651994587422013e+00 9.846782945751664329e+01 1.000000000000000021e-03 1.114232999971136451e-01
2.700000000000000000e+01 3.634603454891218280e+04 3.629120393163057452e+04 5.483061728160867787e+00 0.000000000000000000e+00 5.374153777554681710e+01 1.296707721192430718e+01 1.415093764146186288e+02 1.557859504670300543e+00 8.216390591456331549e+01 1.000000000000000021e-03 1.082341999863274395e-01
2.800000000000000000e+01 6.813467393181771040e+05 6.813034707898779307e+05 4.326852829920981414e+00 0.000000000000000000e+00 6.938235951359563103e+01 1.022631949713584909e+01 1.156718297631386747e+02 9.809731876496391445e-01 6.708126119105554608e+01 1.000000000000000021e-03 9.389629994984716177e-02
2.900000000000000000e+01 1.581468984777204168e+05 1.581129065976015991e+05 3.399188011881659754e+00 0.000000000000000000e+00 8.577541522108596439e+01 8.040073914713703473e+00 9.014334968239070633e+01 6.191954724907318131e-01 5.249255328341832438e+01 1.000000000000000021e-03 9.006219997536391020e-02
3.000000000000000000e+01 3.565749009467259611e+02 3.299819064054300384e+02 2.659299454129592899e+00 0.000000000000000000e+00 1.013916128386201194e+02 6.301642894383472360e+00 6.700052390700754756e+01 3.925561861930127461e-01 3.940934866169423145e+01 1.000000000000000021e-03 9.361989999888464808e-02
3.100000000000000000e+01 1.904129350724883452e+01 8.466110352681603946e-01 1.819468247198067434e+00 0.000000000000000000e+00 1.342602888822639216e+02 4.356362645740250450e+00 4.435390272339240170e+01 1.976259266856197627e-01 2.633568808075083112e+01 1.000000000000000021e-03 8.267390000401064754e-02
3.200000000000000000e+01 1.377223318932359462e+03 1.371863739078274193e+03 5.359579854085210204e-01 0.000000000000000000e+00 2.776448503953250224e+02 1.512467969139259294e+00 1.484755979572333651e+01 3.218589451335753665e-02 8.904061972487570031e+00 1.000000000000000021e-03 9.202709997771307826e-02
3.300000000000000000e+01 3.954939713205370140e+02 3.944268826228870353e+02 1.067088697649985901e-01 0.000000000000000000e+00 4.972209635796488669e+02 6.018858480225357521e-01 3.544675091093787866e+00 4.774986509974447381e-03 2.369448407059455253e+00 1.000000000000000021e-03 1.079327000188641250e-01
3.400000000000000000e+01 1.318616753031075177e+02 1.287417623616362050e+02 3.119912941471319479e-01 0.000000000000000000e+00 3.095772542856815903e+02 1.087013139813210794e+00 5.100045721972816359e+00 1.174839543425645200e-02 3.625287605365362431e+00 1.000000000000000021e-03 9.734480001498013735e-02
3.500000000000000000e+01 1.935433197816469075e+01 9.649217492154352982e+00 9.705114486010337771e-01 0.000000000000000000e+00 1.474139370323027833e+02 2.531409954586182121e+00 1.766506652849085057e+01 7.708866235857601834e-02 1.128685455647303115e+01 1.000000000000000021e-03 8.643849997315555811e-02
3.600000000000000000e+01 8.781751773304953531e+03 8.769286103394213569e+03 1.246566991074003816e+00 0.000000000000000000e+00 1.324647211925990860e+02 2.992128062577810166e+00 2.304368049674666707e+01 1.095685566713895803e-01 1.440439975427975483e+01 1.000000000000000021e-03 9.010470000794157386e-02
3.700000000000000000e+01 2.557910091875478997e+02 2.405777600989406722e+02 1.521324908860723024e+00 0.000000000000000000e+00 1.163662467978260935e+02 3.453292154865210684e+00 2.718119489982539960e+01 1.464676405211368382e-01 1.689742196425677534e+01 1.000000000000000021e-03 1.004625000059604645e-01
3.800000000000000000e+01 7.251807090335232431e+01 5.505370401283324355e+01 1.746436689051908075e+00 0.000000000000000000e+00 1.055249524653135467e+02 3.820537462386422778e+00 3.030994510337234615e+01 1.798201237788749074e-01 1.879568989029372261e+01 1.000000000000000021e-03 1.035456000245176256e-01
3.900000000000000000e+01 5.187297221104129363e+01 3.238308261817692824e+01 1.948988959286436451e+00 0.000000000000000000e+00 1.033901751640399453e+02 4.153189310284598257e+00 3.572328622225966654e+01 2.129296365586521578e-01 2.180190278485578048e+01 1.000000000000000021e-03 9.312100004171952605e-02
