# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
1.100000000000000000e+01 1.162649758604918260e+00 4.406808978307147129e+00 2.363969131753617878e-02 1.423899408221749923e+02 3.342414556440955309e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.200000000000000000e+01 8.532032148841970365e-01 3.415825229110490024e+00 1.055775538314698662e-02 2.425814708235821513e+02 2.550558074056294977e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.300000000000000000e+01 2.233481327133409078e+00 1.816972427934968692e+01 5.250261351396805914e-02 2.155767629319446428e+02 1.126584085329428575e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.400000000000000000e+01 4.571057256931652546e+00 4.383768776123095989e+01 2.016238334947955402e-01 1.313827868381982853e+02 2.628827730405233609e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.500000000000000000e+01 7.423613898146720125e+00 7.339188587007070907e+01 5.162407343265580373e-01 8.546314519472494453e+01 4.360331609885551529e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.600000000000000000e+01 1.050542132658823391e+01 1.029116734128734407e+02 1.022193661905074880e+00 6.061596773897715451e+01 6.093906437111987628e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.700000000000000000e+01 1.363303591264426906e+01 1.363170941530576954e+02 1.709029046475733171e+00 4.785850957761032021e+01 8.008255394269738758e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.800000000000000000e+01 1.663976360701947499e+01 1.685337597145034465e+02 2.535388470652442106e+00 3.979928308118576297e+01 9.837125499361876280e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.900000000000000000e+01 1.891739577054665844e+01 1.897721474192353526e+02 3.272734016042814442e+00 3.477321069243762253e+01 1.105307354641215198e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.000000000000000000e+01 2.096075053196098992e+01 2.078774533950119405e+02 4.015239667889773045e+00 3.110635667113450964e+01 1.208842375615771800e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.100000000000000000e+01 2.145701625612298002e+01 2.167065405027961162e+02 4.202273781262099384e+00 3.089048768938947021e+01 1.256080127262589485e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.200000000000000000e+01 2.169133068807431286e+01 2.237321084801911866e+02 4.288461948713336191e+00 3.114342310259766222e+01 1.292689229794565620e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.300000000000000000e+01 2.172182810635399974e+01 2.239958099247226073e+02 4.300755173300734313e+00 3.109215188505798366e+01 1.294189778954145709e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.400000000000000000e+01 2.120763733041002297e+01 2.151506416444224215e+02 4.104294688238566913e+00 3.137761002436469582e+01 1.246786634643826659e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.500000000000000000e+01 2.066890996826901272e+01 2.069434666595204817e+02 3.902369690826495319e+00 3.181160503318103139e+01 1.202382736072027569e+02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.600000000000000000e+01 1.637400594849508195e+01 1.691189510072179587e+02 2.465651994587422013e+00 4.093581806097225240e+01 9.846782945751664329e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.700000000000000000e+01 1.296707721192430718e+01 1.415093764146186288e+02 1.557859504670300543e+00 5.374153777554681710e+01 8.216390591456331549e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.800000000000000000e+01 1.022631949713584909e+01 1.156718297631386747e+02 9.809731876496391445e-01 6.938235951359563103e+01 6.708126119105554608e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
2.900000000000000000e+01 8.040073914713703473e+00 9.014334968239070633e+01 6.191954724907318131e-01 8.577541522108596439e+01 5.249255328341832438e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.000000000000000000e+01 6.301642894383472360e+00 6.700052390700754756e+01 3.925561861930127461e-01 1.013916128386201194e+02 3.940934866169423145e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.100000000000000000e+01 4.356362645740250450e+00 4.435390272339240170e+01 1.976259266856197627e-01 1.342602888822639216e+02 2.633568808075083112e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.200000000000000000e+01 1.512467969139259294e+00 1.484755979572333651e+01 3.218589451335753665e-02 2.776448503953250224e+02 8.904061972487570031e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.300000000000000000e+01 6.018858480225357521e-01 3.544675091093787866e+00 4.774986509974447381e-03 4.972209635796488669e+02 2.369448407059455253e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.400000000000000000e+01 1.087013139813210794e+00 5.100045721972816359e+00 1.174839543425645200e-02 3.095772542856815903e+02 3.625287605365362431e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.500000000000000000e+01 2.531409954586182121e+00 1.766506652849085057e+01 7.708866235857601834e-02 1.474139370323027833e+02 1.128685455647303115e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.600000000000000000e+01 2.992128062577810166e+00 2.304368049674666707e+01 1.095685566713895803e-01 1.324647211925990860e+02 1.440439975427975483e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.700000000000000000e+01 3.453292154865210684e+00 2.718119489982539960e+01 1.464676405211368382e-01 1.163662467978260935e+02 1.689742196425677534e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.800000000000000000e+01 3.820537462386422778e+00 3.030994510337234615e+01 1.798201237788749074e-01 1.055249524653135467e+02 1.879568989029372261e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.900000000000000000e+01 4.153189310284598257e+00 3.572328622225966654e+01 2.129296365586521578e-01 1.033901751640399453e+02 2.180190278485578048e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.000000000000000000e+01 3.576468572095795828e+00 3.323610234065657920e+01 1.608955331814788392e-01 1.255132404430771800e+02 2.003362420924260690e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.100000000000000000e+01 2.659968087563828298e+00 2.534009829487985499e+01 9.268289203649177077e-02 1.654028796271039425e+02 1.523733434296726230e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.200000000000000000e+01 1.901289548149253550e+00 1.693992544329858063e+01 5.039756108432830173e-02 2.057887732393375302e+02 1.032085470871421684e+01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.300000000000000000e+01 1.366118401149630790e+00 1.093107547867948881e+01 2.807329404250247587e-02 2.433507136763613801e+02 6.803582846446873056e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.400000000000000000e+01 9.547886417419377825e-01 9.659814933942664439e+00 1.462521669157561093e-02 3.955289163028450048e+02 5.770070892021694320e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.500000000000000000e+01 6.807061412280135393e-01 1.046235715791235243e+01 7.642298783951047801e-03 7.735741414087437988e+02 5.904242421400239138e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.600000000000000000e+01 4.971780197155654668e-01 9.726681788673793960e+00 3.942587744050890346e-03 1.359644797288490508e+03 5.356576326308410962e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.700000000000000000e+01 3.789409460237094796e-01 6.933623106386995971e+00 1.994190397361175499e-03 1.928478095324144988e+03 3.843758308819846370e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.800000000000000000e+01 3.163890628893669121e-01 3.516086557559322312e+00 1.120656205865668085e-03 1.851087185178428399e+03 2.073311685463162579e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.900000000000000000e+01 2.994653207460702404e-01 1.897761849590327454e+00 8.908394215214920139e-04 1.401314552749398899e+03 1.247455406119712507e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.000000000000000000e+01 3.171781944017456611e-01 2.519607350796895684e+00 1.068349904441930976e-03 1.476091178782504358e+03 1.575913519895751680e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.100000000000000000e+01 3.531545226176406871e-01 2.886265307837597049e+00 1.539416354136910600e-03 1.166862474670334905e+03 1.794747760182302310e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.200000000000000000e+01 3.995590953760102537e-01 2.835391770197338346e+00 2.229748401831744675e-03 8.150044996025642376e+02 1.815025232072847716e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.300000000000000000e+01 4.561381720693654662e-01 3.665436456483940120e+00 3.099730576312508760e-03 7.384049497082528433e+02 2.285756669735023117e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.400000000000000000e+01 5.009543229468860215e-01 4.531023197704535654e+00 3.867775209387972184e-03 7.152602651478171083e+02 2.762598146589765769e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.500000000000000000e+01 5.433398960166759828e-01 4.548543861435947022e+00 4.664739039979358577e-03 6.040234625315681569e+02 2.812947087694670056e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.600000000000000000e+01 3.696561129228838616e-01 2.446638364094248619e+00 2.229131169155691271e-03 7.146171194462311860e+02 1.590746163800852431e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.700000000000000000e+01 2.556506760501354725e-01 2.307403460727846412e+00 1.034960750412266530e-03 1.361744786797329652e+03 1.408317445663646250e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.800000000000000000e+01 1.799077043866551540e-01 2.730094552700160992e+00 4.373672666516208976e-04 3.532397366094076460e+03 1.544517613470083983e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
